start_country,end_country,start_lat,start_long,end_lat,end_long,count
Mexico,United States,23,-102,37.751,-97.822,9367910
Bangladesh,India,24,90,20,77,3789377
India,Pakistan,20,77,30,70,2512906
Turkey,Germany,39,35,51,9,2008979
Poland,Germany,52,20,51,9,1999975
Puerto Rico,United States,18.25,-66.5,37.751,-97.822,1455095
Pakistan,India,30,70,20,77,1331659
Germany,United States,51,9,37.751,-97.822,1250815
Algeria,France,28,3,46,2,1057135
India,United States,20,77,37.751,-97.822,1041320
United Kingdom,Australia,54,-2,-27,133,1026553
China,United States,35,105,37.751,-97.822,1016412
India,Saudi Arabia,20,77,25,45,1007649
Canada,United States,60,-95,37.751,-97.822,950549
India,Bangladesh,20,77,24,90,936151
"Korea, Rep.",United States,37,127.5,37.751,-97.822,896982
Cuba,United States,21.5,-80,37.751,-97.822,894560
Indonesia,Malaysia,-5,120,2.5,112.5,885328
United Kingdom,United States,54,-2,37.751,-97.822,833858
El Salvador,United States,13.8333,-88.9167,37.751,-97.822,827583
Poland,France,52,20,46,2,800387
India,United Arab Emirates,20,77,24,54,751142
Malaysia,Singapore,2.5,112.5,1.3667,103.8,725607
Dominican Republic,United States,19,-70.6667,37.751,-97.822,706894
"Korea, Rep.",Japan,37,127.5,36,138,685943
Nepal,India,28,84,20,77,649166
Pakistan,Saudi Arabia,30,70,25,45,638606
Ireland,United Kingdom,53,-8,54,-2,636751
Italy,Germany,42.8333,12.8333,51,9,629291
United Kingdom,Canada,54,-2,60,-95,606723
Jamaica,United States,18.25,-77.5,37.751,-97.822,575845
Pakistan,United Arab Emirates,30,70,24,54,569556
India,Nepal,20,77,28,84,563571
Italy,United States,42.8333,12.8333,37.751,-97.822,547833
Colombia,United States,4,-72,37.751,-97.822,533019
India,United Kingdom,20,77,54,-2,524796
Japan,United States,36,138,37.751,-97.822,500527
Poland,United States,52,20,37.751,-97.822,490599
Guatemala,United States,15.5,-90.25,37.751,-97.822,489507
Bulgaria,Turkey,43,25,39,35,480716
Bosnia and Herzegovina,Croatia,44,18,45.1667,15.5,459328
Ukraine,United States,49,32,37.751,-97.822,444101
Haiti,United States,19,-72.4167,37.751,-97.822,435259
Jordan,Kuwait,31,36,29.3375,47.6581,434725
"Korea, Dem. Rep.","Korea, Rep.",40,127,37,127.5,431629
Albania,Greece,41,20,39,22,420838
Ukraine,Kazakhstan,49,32,48,68,402671
India,Sri Lanka,20,77,7,81,384789
Greece,Germany,39,22,51,9,367554
Bangladesh,Saudi Arabia,24,90,25,45,366007
Uganda,Kenya,1,32,1,38,351083
Pakistan,United Kingdom,30,70,54,-2,350867
United States,Mexico,37.751,-97.822,23,-102,350626
New Zealand,Australia,-41,174,-27,133,350498
China,Singapore,35,105,1.3667,103.8,348383
Germany,United Kingdom,51,9,54,-2,338110
Italy,Switzerland,42.8333,12.8333,47,8,336726
China,Canada,35,105,60,-95,336302
China,Japan,35,105,36,138,335495
Paraguay,Argentina,-23,-58,-34,-64,331688
Ukraine,Poland,49,32,52,20,331462
Romania,Germany,46,25,51,9,324085
India,Canada,20,77,60,-95,313999
India,Oman,20,77,21,57,312053
Tunisia,France,34,9,46,2,310949
Italy,Canada,42.8333,12.8333,60,-95,310213
Ecuador,United States,-2,-77.5,37.751,-97.822,302705
Poland,Belarus,52,20,53,28,291909
Honduras,United States,15,-86.5,37.751,-97.822,288779
Indonesia,Saudi Arabia,-5,120,25,45,286600
Morocco,Italy,32,-5,42.8333,12.8333,286498
Peru,United States,-10,-76,37.751,-97.822,285925
Albania,Italy,41,20,42.8333,12.8333,275300
Germany,Turkey,51,9,39,35,272995
Belarus,Ukraine,53,28,49,32,270751
United States,Canada,37.751,-97.822,60,-95,270708
Mozambique,South Africa,-18.25,35,-29,24,264572
Morocco,France,32,-5,46,2,262462
Germany,France,51,9,46,2,260042
Eritrea,Ethiopia,15,39,8,38,255018
Morocco,Spain,32,-5,40,-4,253173
Kazakhstan,Ukraine,48,68,49,32,245072
United States,Puerto Rico,37.751,-97.822,18.25,-66.5,243628
Uzbekistan,Ukraine,41,64,49,32,242390
Brazil,Japan,-10,-55,36,138,242246
Bolivia,Argentina,-17,-65,-34,-64,237213
Italy,France,42.8333,12.8333,46,2,236943
Pakistan,United States,30,70,37.751,-97.822,234081
Nicaragua,United States,13,-85,37.751,-97.822,229386
Haiti,Dominican Republic,19,-72.4167,19,-70.6667,228274
United Kingdom,Ireland,54,-2,53,-8,227440
Nicaragua,Costa Rica,13,-85,10,-84,226582
Azerbaijan,Israel,40.5,47.5,31.5,34.75,225396
Brazil,United States,-10,-55,37.751,-97.822,225330
Croatia,Germany,45.1667,15.5,51,9,224721
Italy,Argentina,42.8333,12.8333,-34,-64,224155
China,Thailand,35,105,15,100,224153
Albania,Germany,41,20,51,9,221897
United Kingdom,New Zealand,54,-2,-41,174,221729
